id,title,artist,active,comment,tabs,lyrics,chords,capo,bypassRequestLimits,minAmount,attributes
4121333,Воля и разум,Ария,true,,,,,,false,0,"Рок, метал"
4121335,"Встань, страх преодолей",Ария,true,,,,,,false,0,"Рок, метал"
3796478,Осколок льда,Ария,true,,,,,,false,0,"Рок, метал,Под минус,Под гитару"
5104184,Свет былой любви,"Ария ",true,Vladyka_Snov,,,,,false,0,
4889177,Ведьмина дочь,Артемизия,true,,,,,,false,0,
5113118,Зеленая Карета,А.Суханов,false,,,,,,false,0,
3935935,Валера,Афродита,false,,,,,,false,0,Под минус
3799568,Мой рок-н-рол,Би-2,true,,,,,,false,0,"Рок, метал,Под минус"
4314429,Катюша,Блантер М.И.,true,,,,,,false,0,
3904934,Восточные сказки,Блестящие,true,,,,,,false,0,Под гитару
4589404,Дуэт Короля и Принцессы,Бременские музыканты,true,,,,,,false,0,СОВМЕСТНЫЙ СТРИМ
4056351,Ничего на свете лучше нету,Бременские музыканты,true,,,,,,false,0,СОВМЕСТНЫЙ СТРИМ
4056375,Вахтерам,Бумбокс,true,,,,,,false,0,СОВМЕСТНЫЙ СТРИМ
4056365,Пепел,Бумбокс,true,,,,,,false,0,
3487441,А чё чё,Бьянка,true,,,,,,false,0,
4589392,"Хмуриться не надо, Лада!",Вадим Мулерман,true,,,,,,false,0,
3413520,Кабы не было зимы,Валентина Толкунова,true,,,,,,false,0,"СОВМЕСТНЫЙ СТРИМ,Зимние песни (Новогодние)"
4376092,Я не могу иначе,"Валентина Толкунова ",true,,,,,,false,0,
3263865,Гори,Валентин Стрыкало,true,,,,,,false,0,
3796739,Яхта парус,Валентин Стрыкало,true,,,,,,false,0,"СОВМЕСТНЫЙ СТРИМ,Под гитару"
4173894,Вера,Валерий Меладзе,true,,,,,,false,0,"СОВМЕСТНЫЙ СТРИМ,Под минус"
4975274,Красиво,Валерий Меладзе,true,,,,,,false,0,
5011985,Небеса,Валерий Меладзе,false,,,,,,false,0,
5011982,Океан и три реки,Валерий Меладзе,true,,,,,,false,0,
5210987,"Салют, Вера",Валерий Меладзе,true,,,,,,false,0,
3799571,Анастасия,Вальс из м/ф,true,,,,,,false,0,"СОВМЕСТНЫЙ СТРИМ,Под минус"
3577048,Опять домой,Валя Карнавал,false,,,,,,false,0,
5496047,Силуэт,Ваня Дмитриенко,false,,,,,,false,0,РАЗУЧИВАЮ
4378816,Всё забудется,Вельвет,true,,,,,,false,0,
4378012,Прости,Вельвет,true,,,,,,false,0,
3770125,Реальная жизнь,Вера Брежнева,true,,,,,,false,0,
4121370,Бриллианты,ВИА гра,true,,,,,,false,0,
4307047," Попытка номер 5",ВИА Гра,true,,,,,,false,0,
5655376,Куда уходит детство,ВИА «Сливки» (Пугачева),true,,,,,,false,0,
5288710,Дыши,Виктория Дайнеко,true,,,,,,false,0,
5640271,Тысячи дорог,Виктория Черенцова,true,,,,,,false,0,
5223435,Звездная река,Виктор Семенов,true,,,,,,false,0,
4464479,Апрель,Виктор Цой / Кино,true,,,,,,false,0,СОВМЕСТНЫЙ СТРИМ
3889119,Восьмиклассница,Виктор Цой / Кино,true,,,,,,false,0,"Рок, метал,СОВМЕСТНЫЙ СТРИМ,Под гитару"
4209065,Ева,Винтаж,true,,,,,,false,0,
3839935,Знак водолея,Винтаж,true,,,,,,false,0,Под минус
5071236,Огонек,Владимир Нечаев,true,,,,,,false,0,
3821287,Пристани моих снов,Владлена Губарева,true,,,,,,false,0,Под минус
5193090,Смуглянка," военные песни",true,,,,,,false,0,
5193085,Журавли," военные песни, Марк Бернес",true,,,,,,false,0,
5193087,"Жди меня ","военные песни, стихи Константина Симонова ",true,,,,,,false,0,
4589606,"Танцуй, Россия!",Глюк'oZa (Глюкоза),true,,,,,,false,0,
4294147,А снег идёт,Глюкоза,true,,,,,,false,0,Зимние песни (Новогодние)
3237767,Обернись,Город 312,true,,,,,,false,0,
3237768,Останусь,Город 312,true,,,,,,false,0,Под минус
4624245,Режиссер,Градусы,true,,,,,,false,0,
3917083,Здесь были,Гречка,true,,,,,,false,0,
4216975,"Люби меня люби ",Гречка,true,,,,,,false,0,Укулеле
4307046,Она не твоя,Григорий Лепс и Стас Пьеха,true,,,,,,false,0,СОВМЕСТНЫЙ СТРИМ
4003278,(6) Имя твоё,Группа - Колизей,true,,,,,,false,0,"СОВМЕСТНЫЙ СТРИМ,Под гитару"
3917131,Индиго,Дана Соколова,true,,,,,,false,0,СОВМЕСТНЫЙ СТРИМ
3917137,Разведи небо,Дана Соколова,true,,,,,,false,0,
3504496,(4) Ангел похоронитель,Дарья Виардо,true,,,,,,false,0,Под гитару
4250944,Облака белогривые лошадки,Детские песни,true,,,,,,false,0,Позитив
4250951,От улыбки станет всем светлей,Детские песни,true,,,,,,false,0,Позитив
4902167,(ДОУЧИТЬ) Папа может всё что угодно," Детские песни / Танич",false,,,,,,false,0,
4617065,Беги,Джоконда,true,,,,,,false,0,
5664214,Постарайся быть счастливым,Джоконда,true,,,,,,false,0,
4589389,Секунду назад,Диана Арбенина,true,,,,,,false,0,СОВМЕСТНЫЙ СТРИМ
4294157,Не молчи,Дима Билан,true,,,,,,false,0,
3237822,Втюрилась,Дора,false,,,,,,false,0,
3898392,Дора дура,Дора,true,,,,,,false,0,Под минус
3237820,Младшая сестра,Дора,false,,,,,,false,0,
3237821,Осень пьяная,Дора,false,,,,,,false,0,
3563266,Летний дождь,Дорогой дневник,false,,,,,,false,0,
3913764,Крылатые качели,Евгений Крылатов,true,,,,,,false,0,"СОВМЕСТНЫЙ СТРИМ,Под минус"
3237819,Прекрасное далёко,Евгений Крылатов,true,,,,,,false,0,Под минус
4241524,Новогодняя сказка,Евгений Траханов,false,,,,,,false,0,
4624248,Улетай на крыльях ветра,Евгения Сотникова,false,,,,,,false,0,
